user_id,skill_name,correctms_response_time
48,forloop,0,376039
49,statement,0,418186
49,ifstatement,0,418186
49,forloop,0,418186
50,statement,1,224082
50,ifstatement,1,224082
50,forloop,1,224082
51,statement,0,289455
51,ifstatement,0,289455
51,forloop,0,289455
52,statement,1,77385
52,ifstatement,1,77385
52,forloop,1,77385
53,statement,0,135949
53,ifstatement,0,135949
53,forloop,0,135949
54,statement,1,179808
54,ifstatement,1,179808
54,forloop,1,179808
55,statement,0,212263
55,ifstatement,0,212263
55,forloop,0,212263
56,statement,0,318570
56,ifstatement,0,318570
56,forloop,0,318570
57,statement,0,349037
57,ifstatement,0,349037
57,forloop,0,349037
58,statement,1,345586
58,ifstatement,1,345586
58,forloop,1,345586
59,statement,0,255750
59,ifstatement,0,255750
59,forloop,0,255750
60,statement,0,165776
60,ifstatement,0,165776
60,forloop,0,165776
61,statement,1,490679
61,ifstatement,1,490679
61,forloop,1,490679
62,statement,1,334164
62,ifstatement,1,334164
62,forloop,1,334164
63,statement,1,444513
63,ifstatement,1,444513
63,forloop,1,444513
64,statement,0,385986
64,ifstatement,0,385986
64,forloop,0,385986
65,statement,1,308162
65,ifstatement,1,308162
65,forloop,1,308162
66,statement,0,180931
66,ifstatement,0,180931
66,forloop,0,180931
67,statement,1,102300
67,ifstatement,1,102300
67,forloop,1,102300
68,statement,1,461683
68,ifstatement,1,461683
68,forloop,1,461683
69,statement,0,94219
69,ifstatement,0,94219
69,forloop,0,94219
70,statement,0,463177
70,ifstatement,0,463177
70,forloop,0,463177
71,statement,0,461913
71,ifstatement,0,461913
71,forloop,0,461913
72,statement,1,177957
72,ifstatement,1,177957
72,forloop,1,177957
73,statement,1,393727
73,ifstatement,1,393727
73,forloop,1,393727
74,statement,1,281801
74,ifstatement,1,281801
74,forloop,1,281801
75,statement,0,344096
75,ifstatement,0,344096
75,forloop,0,344096
76,statement,0,209730
76,ifstatement,0,209730
76,forloop,0,209730
77,statement,1,382520
77,ifstatement,1,382520
77,forloop,1,382520
78,statement,1,95170
78,ifstatement,1,95170
78,forloop,1,95170
79,statement,1,337835
79,ifstatement,1,337835
79,forloop,1,337835
80,statement,1,305554
80,ifstatement,1,305554
80,forloop,1,305554
81,statement,1,111453
81,ifstatement,1,111453
81,forloop,1,111453
82,statement,0,266840
82,ifstatement,0,266840
82,forloop,0,266840
83,statement,0,499564
83,ifstatement,0,499564
83,forloop,0,499564
84,statement,1,183616
84,ifstatement,1,183616
84,forloop,1,183616
85,statement,1,104050
85,ifstatement,1,104050
85,forloop,1,104050
86,statement,0,347062
86,ifstatement,0,347062
86,forloop,0,347062
87,statement,0,162597
87,ifstatement,0,162597
87,forloop,0,162597
88,statement,1,317927
88,ifstatement,1,317927
88,forloop,1,317927
89,statement,1,416464
89,ifstatement,1,416464
89,forloop,1,416464
90,statement,1,312580
90,ifstatement,1,312580
90,forloop,1,312580
91,statement,0,246183
91,ifstatement,0,246183
91,forloop,0,246183
92,statement,0,44219
92,ifstatement,0,44219
92,forloop,0,44219
93,statement,0,51407
93,ifstatement,0,51407
93,forloop,0,51407
94,statement,1,295778
94,ifstatement,1,295778
94,forloop,1,295778
95,statement,1,350379
95,ifstatement,1,350379
95,forloop,1,350379
96,statement,1,418399
96,ifstatement,1,418399
96,forloop,1,418399
97,statement,0,441097
97,ifstatement,0,441097
97,forloop,0,441097
98,statement,1,254528
98,ifstatement,1,254528
98,forloop,1,254528
99,statement,1,293674
99,ifstatement,1,293674
99,forloop,1,293674
100,statement,0,129394
100,ifstatement,0,129394
100,forloop,0,129394
101,statement,1,295629
101,ifstatement,1,295629
101,forloop,1,295629
102,statement,1,211755
102,ifstatement,1,211755
102,forloop,1,211755
103,statement,1,92282
103,ifstatement,1,92282
103,forloop,1,92282
104,statement,0,462170
104,ifstatement,0,462170
104,forloop,0,462170
105,statement,0,353649
105,ifstatement,0,353649
105,forloop,0,353649
106,statement,1,488752
106,ifstatement,1,488752
106,forloop,1,488752
107,statement,0,107984
107,ifstatement,0,107984
107,forloop,0,107984
108,statement,1,485307
108,ifstatement,1,485307
108,forloop,1,485307
109,statement,1,321626
109,ifstatement,1,321626
109,forloop,1,321626
110,statement,0,32390
110,ifstatement,0,32390
110,forloop,0,32390
111,statement,1,67647
111,ifstatement,1,67647
111,forloop,1,67647
112,statement,1,73937
112,ifstatement,1,73937
112,forloop,1,73937
113,statement,0,251178
113,ifstatement,0,251178
113,forloop,0,251178
114,statement,1,318807
114,ifstatement,1,318807
114,forloop,1,318807
115,statement,1,309590
115,ifstatement,1,309590
115,forloop,1,309590
116,statement,1,301967
116,ifstatement,1,301967
116,forloop,1,301967
117,statement,0,285002
117,ifstatement,0,285002
117,forloop,0,285002
118,statement,0,281740
118,ifstatement,0,281740
118,forloop,0,281740
119,statement,0,251583
119,ifstatement,0,251583
119,forloop,0,251583
120,statement,0,308713
120,ifstatement,0,308713
120,forloop,0,308713
121,statement,1,48431
121,ifstatement,1,48431
121,forloop,1,48431
122,statement,0,431975
122,ifstatement,0,431975
122,forloop,0,431975
123,statement,1,100495
123,ifstatement,1,100495
123,forloop,1,100495
124,statement,1,479187
124,ifstatement,1,479187
124,forloop,1,479187
125,statement,0,123233
125,ifstatement,0,123233
125,forloop,0,123233
126,statement,0,118623
126,ifstatement,0,118623
126,forloop,0,118623
127,statement,1,217119
127,ifstatement,1,217119
127,forloop,1,217119
128,statement,0,212343
128,ifstatement,0,212343
128,forloop,0,212343
129,statement,1,287256
129,ifstatement,1,287256
129,forloop,1,287256
130,statement,1,304005
130,ifstatement,1,304005
130,forloop,1,304005
131,statement,1,46691
131,ifstatement,1,46691
131,forloop,1,46691
132,statement,1,153455
132,ifstatement,1,153455
132,forloop,1,153455
133,statement,1,354090
133,ifstatement,1,354090
133,forloop,1,354090
134,statement,0,420549
134,ifstatement,0,420549
134,forloop,0,420549
135,statement,1,494813
135,ifstatement,1,494813
135,forloop,1,494813
136,statement,1,354410
136,ifstatement,1,354410
136,forloop,1,354410
137,statement,1,318163
137,ifstatement,1,318163
137,forloop,1,318163
138,statement,1,299496
138,ifstatement,1,299496
138,forloop,1,299496
139,statement,0,264493
139,ifstatement,0,264493
139,forloop,0,264493
140,statement,0,116146
140,ifstatement,0,116146
140,forloop,0,116146
141,statement,0,438688
141,ifstatement,0,438688
141,forloop,0,438688
142,statement,1,173240
142,ifstatement,1,173240
142,forloop,1,173240
143,statement,1,238147
143,ifstatement,1,238147
143,forloop,1,238147
144,statement,1,483216
144,ifstatement,1,483216
144,forloop,1,483216
145,statement,0,483472
145,ifstatement,0,483472
145,forloop,0,483472
146,statement,1,452660
146,ifstatement,1,452660
146,forloop,1,452660
147,statement,0,363711
147,ifstatement,0,363711
147,forloop,0,363711
148,statement,0,435679
148,ifstatement,0,435679
148,forloop,0,435679
149,statement,1,414025
149,ifstatement,1,414025
149,forloop,1,414025
150,statement,0,186585
150,ifstatement,0,186585
150,forloop,0,186585
151,statement,1,224617
151,ifstatement,1,224617
151,forloop,1,224617
152,statement,0,396409
152,ifstatement,0,396409
152,forloop,0,396409
153,statement,1,400813
153,ifstatement,1,400813
153,forloop,1,400813
154,statement,0,30373
154,ifstatement,0,30373
154,forloop,0,30373
155,statement,1,341011
155,ifstatement,1,341011
155,forloop,1,341011
156,statement,1,203901
156,ifstatement,1,203901
156,forloop,1,203901
157,statement,0,42095
157,ifstatement,0,42095
157,forloop,0,42095
158,statement,0,289255
158,ifstatement,0,289255
158,forloop,0,289255
159,statement,1,293623
159,ifstatement,1,293623
159,forloop,1,293623
160,statement,1,464994
160,ifstatement,1,464994
160,forloop,1,464994
161,statement,0,270415
161,ifstatement,0,270415
161,forloop,0,270415
162,statement,1,93861
162,ifstatement,1,93861
162,forloop,1,93861
163,statement,0,219211
163,ifstatement,0,219211
163,forloop,0,219211
164,statement,0,455802
164,ifstatement,0,455802
164,forloop,0,455802
165,statement,1,114405
165,ifstatement,1,114405
165,forloop,1,114405
166,statement,1,250827
166,ifstatement,1,250827
166,forloop,1,250827
167,statement,1,382862
167,ifstatement,1,382862
167,forloop,1,382862
168,statement,1,387505
168,ifstatement,1,387505
168,forloop,1,387505
169,statement,1,423008
169,ifstatement,1,423008
169,forloop,1,423008
170,statement,0,314350
170,ifstatement,0,314350
170,forloop,0,314350
171,statement,0,389899
171,ifstatement,0,389899
171,forloop,0,389899
172,statement,0,260870
172,ifstatement,0,260870
172,forloop,0,260870
173,statement,1,399767
173,ifstatement,1,399767
173,forloop,1,399767
174,statement,0,324659
174,ifstatement,0,324659
174,forloop,0,324659
175,statement,1,148297
175,ifstatement,1,148297
175,forloop,1,148297
176,statement,1,270033
176,ifstatement,1,270033
176,forloop,1,270033
177,statement,0,423670
177,ifstatement,0,423670
177,forloop,0,423670
178,statement,1,209184
178,ifstatement,1,209184
178,forloop,1,209184
179,statement,0,189527
179,ifstatement,0,189527
179,forloop,0,189527
180,statement,0,425345
180,ifstatement,0,425345
180,forloop,0,425345
181,statement,1,34919
181,ifstatement,1,34919
181,forloop,1,34919
182,statement,1,242754
182,ifstatement,1,242754
182,forloop,1,242754
183,statement,1,311947
183,ifstatement,1,311947
183,forloop,1,311947
184,statement,0,100767
184,ifstatement,0,100767
184,forloop,0,100767
185,statement,1,272390
185,ifstatement,1,272390
185,forloop,1,272390
186,statement,1,483217
186,ifstatement,1,483217
186,forloop,1,483217
187,statement,1,463645
187,ifstatement,1,463645
187,forloop,1,463645
188,statement,0,137384
188,ifstatement,0,137384
188,forloop,0,137384
189,statement,0,395794
189,ifstatement,0,395794
189,forloop,0,395794
190,statement,1,322464
190,ifstatement,1,322464
190,forloop,1,322464
191,statement,0,78807
191,ifstatement,0,78807
191,forloop,0,78807
192,statement,0,166946
192,ifstatement,0,166946
192,forloop,0,166946
193,statement,0,397940
193,ifstatement,0,397940
193,forloop,0,397940
194,statement,1,234401
194,ifstatement,1,234401
194,forloop,1,234401
195,statement,1,401999
195,ifstatement,1,401999
195,forloop,1,401999
196,statement,1,252914
196,ifstatement,1,252914
196,forloop,1,252914
197,statement,0,352762
197,ifstatement,0,352762
197,forloop,0,352762
198,statement,0,461457
198,ifstatement,0,461457
198,forloop,0,461457
199,statement,0,34059
199,ifstatement,0,34059
199,forloop,0,34059
200,statement,0,174516
200,ifstatement,0,174516
200,forloop,0,174516
201,statement,1,435380
201,ifstatement,1,435380
201,forloop,1,435380
202,statement,0,168519
202,ifstatement,0,168519
202,forloop,0,168519
203,statement,0,266042
203,ifstatement,0,266042
203,forloop,0,266042
204,statement,1,147810
204,ifstatement,1,147810
204,forloop,1,147810
205,statement,0,217887
205,ifstatement,0,217887
205,forloop,0,217887
206,statement,0,438634
206,ifstatement,0,438634
206,forloop,0,438634
207,statement,0,111128
207,ifstatement,0,111128
207,forloop,0,111128
208,statement,1,95074
208,ifstatement,1,95074
208,forloop,1,95074
209,statement,1,207111
209,ifstatement,1,207111
209,forloop,1,207111
210,statement,1,287312
210,ifstatement,1,287312
210,forloop,1,287312
211,statement,0,335411
211,ifstatement,0,335411
211,forloop,0,335411
212,statement,0,323631
212,ifstatement,0,323631
212,forloop,0,323631
213,statement,0,477160
213,ifstatement,0,477160
213,forloop,0,477160
214,statement,1,336378
214,ifstatement,1,336378
214,forloop,1,336378
215,statement,0,61696
215,ifstatement,0,61696
215,forloop,0,61696
216,statement,1,477249
216,ifstatement,1,477249
216,forloop,1,477249
217,statement,0,127476
217,ifstatement,0,127476
217,forloop,0,127476
218,statement,1,201533
218,ifstatement,1,201533
218,forloop,1,201533
219,statement,1,94521
219,ifstatement,1,94521
219,forloop,1,94521
220,statement,0,154100
220,ifstatement,0,154100
220,forloop,0,154100
221,statement,0,420321
221,ifstatement,0,420321
221,forloop,0,420321
222,statement,0,52415
222,ifstatement,0,52415
222,forloop,0,52415
223,statement,0,296720
223,ifstatement,0,296720
223,forloop,0,296720
224,statement,1,292749
224,ifstatement,1,292749
224,forloop,1,292749
225,statement,0,376250
225,ifstatement,0,376250
225,forloop,0,376250
226,statement,0,164269
226,ifstatement,0,164269
226,forloop,0,164269
227,statement,1,81111
227,ifstatement,1,81111
227,forloop,1,81111
228,statement,1,112856
228,ifstatement,1,112856
228,forloop,1,112856
229,statement,0,69215
229,ifstatement,0,69215
229,forloop,0,69215
230,statement,1,210904
230,ifstatement,1,210904
230,forloop,1,210904
231,statement,1,373517
231,ifstatement,1,373517
231,forloop,1,373517
232,statement,1,469385
232,ifstatement,1,469385
232,forloop,1,469385
233,statement,1,342062
233,ifstatement,1,342062
233,forloop,1,342062
234,statement,0,239828
234,ifstatement,0,239828
234,forloop,0,239828
235,statement,0,186837
235,ifstatement,0,186837
235,forloop,0,186837
236,statement,0,387716
236,ifstatement,0,387716
236,forloop,0,387716
237,statement,0,138232
237,ifstatement,0,138232
237,forloop,0,138232
238,statement,1,388942
238,ifstatement,1,388942
238,forloop,1,388942
239,statement,0,497396
239,ifstatement,0,497396
239,forloop,0,497396
240,statement,1,391139
240,ifstatement,1,391139
240,forloop,1,391139
241,statement,0,203561
241,ifstatement,0,203561
241,forloop,0,203561
242,statement,0,378956
242,ifstatement,0,378956
242,forloop,0,378956
243,statement,0,75847
243,ifstatement,0,75847
243,forloop,0,75847
244,statement,1,347762
244,ifstatement,1,347762
244,forloop,1,347762
245,statement,0,229696
245,ifstatement,0,229696
245,forloop,0,229696
246,statement,1,244289
246,ifstatement,1,244289
246,forloop,1,244289
247,statement,1,481142
247,ifstatement,1,481142
247,forloop,1,481142
248,statement,0,324806
248,ifstatement,0,324806
248,forloop,0,324806
249,statement,1,346279
249,ifstatement,1,346279
249,forloop,1,346279
250,statement,0,326221
250,ifstatement,0,326221
250,forloop,0,326221
251,statement,1,82242
251,ifstatement,1,82242
251,forloop,1,82242
252,statement,1,305681
252,ifstatement,1,305681
252,forloop,1,305681
253,statement,1,438657
253,ifstatement,1,438657
253,forloop,1,438657
254,statement,0,255675
254,ifstatement,0,255675
254,forloop,0,255675
255,statement,0,302210
255,ifstatement,0,302210
255,forloop,0,302210
256,statement,1,358273
256,ifstatement,1,358273
256,forloop,1,358273
257,statement,0,418753
257,ifstatement,0,418753
257,forloop,0,418753
258,statement,1,468214
258,ifstatement,1,468214
258,forloop,1,468214
259,statement,1,100562
259,ifstatement,1,100562
259,forloop,1,100562
260,statement,1,498207
260,ifstatement,1,498207
260,forloop,1,498207
261,statement,0,247229
261,ifstatement,0,247229
261,forloop,0,247229
262,statement,1,173971
262,ifstatement,1,173971
262,forloop,1,173971
263,statement,0,388948
263,ifstatement,0,388948
263,forloop,0,388948
264,statement,0,335910
264,ifstatement,0,335910
264,forloop,0,335910
265,statement,1,232362
265,ifstatement,1,232362
265,forloop,1,232362
266,statement,1,118906
266,ifstatement,1,118906
266,forloop,1,118906
267,statement,1,218583
267,ifstatement,1,218583
267,forloop,1,218583
268,statement,1,87712
268,ifstatement,1,87712
268,forloop,1,87712
269,statement,0,117708
269,ifstatement,0,117708
269,forloop,0,117708
270,statement,1,205126
270,ifstatement,1,205126
270,forloop,1,205126
271,statement,1,164696
271,ifstatement,1,164696
271,forloop,1,164696
272,statement,0,81248
272,ifstatement,0,81248
272,forloop,0,81248
273,statement,1,250115
273,ifstatement,1,250115
273,forloop,1,250115
274,statement,1,431276
274,ifstatement,1,431276
274,forloop,1,431276
275,statement,1,221867
275,ifstatement,1,221867
275,forloop,1,221867
276,statement,1,151357
276,ifstatement,1,151357
276,forloop,1,151357
277,statement,1,139984
277,ifstatement,1,139984
277,forloop,1,139984
278,statement,0,466876
278,ifstatement,0,466876
278,forloop,0,466876
279,statement,0,62837
279,ifstatement,0,62837
279,forloop,0,62837
280,statement,1,99014
280,ifstatement,1,99014
280,forloop,1,99014
281,statement,1,53258
281,ifstatement,1,53258
281,forloop,1,53258
282,statement,1,396764
282,ifstatement,1,396764
282,forloop,1,396764
283,statement,0,91232
283,ifstatement,0,91232
283,forloop,0,91232
284,statement,0,389062
284,ifstatement,0,389062
284,forloop,0,389062
285,statement,0,181209
285,ifstatement,0,181209
285,forloop,0,181209
286,statement,0,68159
286,ifstatement,0,68159
286,forloop,0,68159
287,statement,1,68618
287,ifstatement,1,68618
287,forloop,1,68618
288,statement,1,116690
288,ifstatement,1,116690
288,forloop,1,116690
289,statement,0,217195
289,ifstatement,0,217195
289,forloop,0,217195
290,statement,0,341289
290,ifstatement,0,341289
290,forloop,0,341289
291,statement,1,314059
291,ifstatement,1,314059
291,forloop,1,314059
292,statement,0,312206
292,ifstatement,0,312206
292,forloop,0,312206
293,statement,0,430631
293,ifstatement,0,430631
293,forloop,0,430631
294,statement,1,81704
294,ifstatement,1,81704
294,forloop,1,81704
295,statement,1,63580
295,ifstatement,1,63580
295,forloop,1,63580
296,statement,0,239217
296,ifstatement,0,239217
296,forloop,0,239217
297,statement,1,447811
297,ifstatement,1,447811
297,forloop,1,447811
298,statement,0,450481
298,ifstatement,0,450481
298,forloop,0,450481
299,statement,1,285788
299,ifstatement,1,285788
299,forloop,1,285788
300,statement,0,479722
300,ifstatement,0,479722
300,forloop,0,479722
301,statement,1,343945
301,ifstatement,1,343945
301,forloop,1,343945
302,statement,0,67798
302,ifstatement,0,67798
302,forloop,0,67798
303,statement,0,289599
303,ifstatement,0,289599
303,forloop,0,289599
304,statement,1,402470
304,ifstatement,1,402470
304,forloop,1,402470
305,statement,0,447610
305,ifstatement,0,447610
305,forloop,0,447610
306,statement,0,112561
306,ifstatement,0,112561
306,forloop,0,112561
307,statement,1,168581
307,ifstatement,1,168581
307,forloop,1,168581
308,statement,1,116213
308,ifstatement,1,116213
308,forloop,1,116213
309,statement,1,322877
309,ifstatement,1,322877
309,forloop,1,322877
310,statement,0,277041
310,ifstatement,0,277041
310,forloop,0,277041
311,statement,1,242050
311,ifstatement,1,242050
311,forloop,1,242050
312,statement,0,244127
312,ifstatement,0,244127
312,forloop,0,244127
313,statement,1,321182
313,ifstatement,1,321182
313,forloop,1,321182
314,statement,0,302173
314,ifstatement,0,302173
314,forloop,0,302173
315,statement,0,65308
315,ifstatement,0,65308
315,forloop,0,65308
316,statement,1,428102
316,ifstatement,1,428102
316,forloop,1,428102
317,statement,0,483448
317,ifstatement,0,483448
317,forloop,0,483448
318,statement,1,344263
318,ifstatement,1,344263
318,forloop,1,344263
319,statement,0,121087
319,ifstatement,0,121087
319,forloop,0,121087
320,statement,0,443292
320,ifstatement,0,443292
320,forloop,0,443292
321,statement,0,226332
321,ifstatement,0,226332
321,forloop,0,226332
322,statement,1,43784
322,ifstatement,1,43784
322,forloop,1,43784
323,statement,0,58381
323,ifstatement,0,58381
323,forloop,0,58381
324,statement,0,452695
324,ifstatement,0,452695
324,forloop,0,452695
325,statement,0,155560
325,ifstatement,0,155560
325,forloop,0,155560
326,statement,0,399532
326,ifstatement,0,399532
326,forloop,0,399532
327,statement,0,300117
327,ifstatement,0,300117
327,forloop,0,300117
328,statement,1,498236
328,ifstatement,1,498236
328,forloop,1,498236
329,statement,1,380005
329,ifstatement,1,380005
329,forloop,1,380005
330,statement,1,159696
330,ifstatement,1,159696
330,forloop,1,159696
331,statement,1,387256
331,ifstatement,1,387256
331,forloop,1,387256
332,statement,1,306273
332,ifstatement,1,306273
332,forloop,1,306273
333,statement,1,452785
333,ifstatement,1,452785
333,forloop,1,452785
334,statement,0,227712
334,ifstatement,0,227712
334,forloop,0,227712
335,statement,0,221552
335,ifstatement,0,221552
335,forloop,0,221552
336,statement,1,53878
336,ifstatement,1,53878
336,forloop,1,53878
337,statement,0,280473
337,ifstatement,0,280473
337,forloop,0,280473
338,statement,1,105875
338,ifstatement,1,105875
338,forloop,1,105875
339,statement,0,215598
339,ifstatement,0,215598
339,forloop,0,215598
340,statement,0,279667
340,ifstatement,0,279667
340,forloop,0,279667
341,statement,0,166236
341,ifstatement,0,166236
341,forloop,0,166236
342,statement,1,444471
342,ifstatement,1,444471
342,forloop,1,444471
343,statement,1,492834
343,ifstatement,1,492834
343,forloop,1,492834
344,statement,0,215278
344,ifstatement,0,215278
344,forloop,0,215278
345,statement,1,253308
345,ifstatement,1,253308
345,forloop,1,253308
346,statement,1,106980
346,ifstatement,1,106980
346,forloop,1,106980
347,statement,1,426636
347,ifstatement,1,426636
347,forloop,1,426636
348,statement,1,105279
348,ifstatement,1,105279
348,forloop,1,105279
349,statement,1,376662
349,ifstatement,1,376662
349,forloop,1,376662
350,statement,0,344142
350,ifstatement,0,344142
350,forloop,0,344142
351,statement,1,136022
351,ifstatement,1,136022
351,forloop,1,136022
352,statement,0,227347
352,ifstatement,0,227347
352,forloop,0,227347
353,statement,0,112081
353,ifstatement,0,112081
353,forloop,0,112081
354,statement,1,140738
354,ifstatement,1,140738
354,forloop,1,140738
355,statement,0,73136
355,ifstatement,0,73136
355,forloop,0,73136
356,statement,0,456206
356,ifstatement,0,456206
356,forloop,0,456206
357,statement,0,431563
357,ifstatement,0,431563
357,forloop,0,431563
358,statement,1,400439
358,ifstatement,1,400439
358,forloop,1,400439
359,statement,1,395917
359,ifstatement,1,395917
359,forloop,1,395917
360,statement,0,197220
360,ifstatement,0,197220
360,forloop,0,197220
361,statement,1,484744
361,ifstatement,1,484744
361,forloop,1,484744
362,statement,0,407085
362,ifstatement,0,407085
362,forloop,0,407085
363,statement,0,457134
363,ifstatement,0,457134
363,forloop,0,457134
364,statement,0,67788
364,ifstatement,0,67788
364,forloop,0,67788
365,statement,0,261207
365,ifstatement,0,261207
365,forloop,0,261207
366,statement,0,104950
366,ifstatement,0,104950
366,forloop,0,104950
367,statement,0,200784
367,ifstatement,0,200784
367,forloop,0,200784
368,statement,1,88927
368,ifstatement,1,88927
368,forloop,1,88927
369,statement,1,294492
369,ifstatement,1,294492
369,forloop,1,294492
370,statement,0,398411
370,ifstatement,0,398411
370,forloop,0,398411
371,statement,1,134344
371,ifstatement,1,134344
371,forloop,1,134344
372,statement,1,55225
372,ifstatement,1,55225
372,forloop,1,55225
373,statement,0,185742
373,ifstatement,0,185742
373,forloop,0,185742
374,statement,0,341108
374,ifstatement,0,341108
374,forloop,0,341108
375,statement,1,313476
375,ifstatement,1,313476
375,forloop,1,313476
376,statement,1,87893
376,ifstatement,1,87893
376,forloop,1,87893
377,statement,0,484420
377,ifstatement,0,484420
377,forloop,0,484420
378,statement,0,306252
378,ifstatement,0,306252
378,forloop,0,306252
379,statement,0,188657
379,ifstatement,0,188657
379,forloop,0,188657
380,statement,1,274519
380,ifstatement,1,274519
380,forloop,1,274519
381,statement,0,441164
381,ifstatement,0,441164
381,forloop,0,441164
382,statement,0,116383
382,ifstatement,0,116383
382,forloop,0,116383
383,statement,0,440013
383,ifstatement,0,440013
383,forloop,0,440013
384,statement,0,314142
384,ifstatement,0,314142
384,forloop,0,314142
385,statement,1,142025
385,ifstatement,1,142025
385,forloop,1,142025
386,statement,1,168065
386,ifstatement,1,168065
386,forloop,1,168065
387,statement,1,122219
387,ifstatement,1,122219
387,forloop,1,122219
388,statement,1,277897
388,ifstatement,1,277897
388,forloop,1,277897
389,statement,0,214637
389,ifstatement,0,214637
389,forloop,0,214637
390,statement,0,267683
390,ifstatement,0,267683
390,forloop,0,267683
391,statement,0,244580
391,ifstatement,0,244580
391,forloop,0,244580
392,statement,0,276138
392,ifstatement,0,276138
392,forloop,0,276138
393,statement,0,361252
393,ifstatement,0,361252
393,forloop,0,361252
394,statement,0,76332
394,ifstatement,0,76332
394,forloop,0,76332
395,statement,1,349346
395,ifstatement,1,349346
395,forloop,1,349346
396,statement,0,425158
396,ifstatement,0,425158
396,forloop,0,425158
397,statement,0,364611
397,ifstatement,0,364611
397,forloop,0,364611
398,statement,0,218846
398,ifstatement,0,218846
398,forloop,0,218846
399,statement,1,61661
399,ifstatement,1,61661
399,forloop,1,61661
400,statement,0,274104
400,ifstatement,0,274104
400,forloop,0,274104
401,statement,0,471382
401,ifstatement,0,471382
401,forloop,0,471382
402,statement,0,209537
402,ifstatement,0,209537
402,forloop,0,209537
403,statement,1,202526
403,ifstatement,1,202526
403,forloop,1,202526
404,statement,1,88783
404,ifstatement,1,88783
404,forloop,1,88783
405,statement,0,68273
405,ifstatement,0,68273
405,forloop,0,68273
406,statement,1,292335
406,ifstatement,1,292335
406,forloop,1,292335
407,statement,0,257768
407,ifstatement,0,257768
407,forloop,0,257768
408,statement,0,57930
408,ifstatement,0,57930
408,forloop,0,57930
409,statement,0,247054
409,ifstatement,0,247054
409,forloop,0,247054
410,statement,0,432756
410,ifstatement,0,432756
410,forloop,0,432756
411,statement,0,204423
411,ifstatement,0,204423
